       250     1.546      4.45
       255     1.540      4.45
       260     1.534       4.5
       265     1.533       4.5
       270     1.532      4.53
       275     1.528      4.58
       280     1.526      4.63
       285     1.527      4.65
       290     1.525      4.73
       295     1.642       4.5
       300     1.642      4.49
       305     1.641      4.53
       310     1.640      4.55
       315     1.670       4.5
       320     1.671      4.53
       325     1.669       4.6
       330     1.669      4.64
       335     1.743      4.46
       340     1.743       4.5
       345     1.743      4.52
       350     1.742      4.55
