     299.9     1.492      5.15
     313.7     1.480      5.25
     322.5     1.482      5.35
     332.8     1.480      5.15
     215.1     1.236      5.05
     221.2     1.221      5.15
     230.4     1.252       5.2
     201.7     1.191      5.05
     304.7     1.570      5.05
     318.0     1.451      5.25
     348.9     1.594       5.1
     343.3     1.506       5.2
     322.6     1.460       5.2
     289.9     1.445      5.15
     341.6     1.665       4.9
     264.5     1.665      4.35
     300.1     1.562       5.1
     200.4     1.283       4.9
     263.8     1.512       4.7
     336.5     1.522      5.65
